IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150060275,NON-CRIMINAL,LOST PROPERTY,Monday,01/19/2015,14:00,MISSION,NONE,18TH ST / VALENCIA ST,-122.4215817,37.76170072,"(37.7617007179518, -122.42158168137)",1.5006E+13
150098210,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,02-01-15,15:45,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406,37.78419072,"(37.7841907151119, -122.414406029855)",1.50098E+13
150098210,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,02-01-15,15:45,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406,37.78419072,"(37.7841907151119, -122.414406029855)",1.50098E+13
150098210,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,02-01-15,15:45,TENDERLOIN,NONE,300 Block of LEAVENWORTH ST,-122.414406,37.78419072,"(37.7841907151119, -122.414406029855)",1.50098E+13
150098226,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,01/27/2015,19:00,NORTHERN,NONE,LOMBARD ST / LAGUNA ST,-122.4311185,37.8004687,"(37.8004687042875, -122.431118543788)",1.50098E+13
150098232,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Sunday,02-01-15,16:21,RICHMOND,NONE,400 Block of LOCUST ST,-122.4517818,37.78708539,"(37.7870853907529, -122.451781767894)",1.50098E+13
150098248,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,01/31/2015,21:00,BAYVIEW,NONE,700 Block of KIRKWOOD AV,-122.3740193,37.72920336,"(37.729203356539, -122.374019331833)",1.50098E+13
150098248,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,01/31/2015,21:00,BAYVIEW,NONE,700 Block of KIRKWOOD AV,-122.3740193,37.72920336,"(37.729203356539, -122.374019331833)",1.50098E+13
150098254,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Saturday,01/31/2015,16:09,CENTRAL,NONE,200 Block of STOCKTON ST,-122.4065682,37.7878093,"(37.7878092959561, -122.40656817787)",1.50098E+13
150098260,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,01/31/2015,17:00,CENTRAL,NONE,800 Block of GEARY ST,-122.4172953,37.78625785,"(37.7862578545865, -122.417295322526)",1.50098E+13
